order_id,order_datetime,channel,items_count,gross_vnd,discount_vnd,net_vnd,status,payment_method
SO00051,2026-09-13T15:27,shopee_food_demo,2,100000,0,100000,completed,e_wallet
SO00052,2026-09-13T15:48,at_store,1,49000,0,49000,completed,card
SO00053,2026-09-13T18:29,at_store,1,45000,0,45000,completed,cash
SO00054,2026-09-13T19:21,at_store,3,140000,0,140000,completed,e_wallet
SO00055,2026-09-13T09:14,at_store,4,181000,0,181000,completed,card
SO00056,2026-09-13T20:40,grab_demo,4,178000,18000,160000,completed,card
SO00057,2026-09-13T08:04,website,1,45000,0,45000,completed,cash
SO00058,2026-09-13T15:53,grab_demo,4,210000,0,210000,completed,cash
SO00059,2026-09-13T18:03,at_store,4,178000,0,178000,completed,qr_transfer
SO00060,2026-09-13T09:04,at_store,3,137000,0,137000,completed,e_wallet
SO00061,2026-09-13T19:18,shopee_food_demo,2,110000,0,110000,completed,cash
SO00062,2026-09-14T08:09,at_store,2,81000,0,81000,completed,qr_transfer
SO00063,2026-09-14T18:04,at_store,4,177000,0,177000,completed,cash
SO00064,2026-09-14T19:17,grab_demo,1,42000,4000,38000,completed,qr_transfer
SO00065,2026-09-14T10:07,shopee_food_demo,1,35000,0,35000,completed,cash
SO00066,2026-09-14T17:50,shopee_food_demo,1,45000,4000,41000,completed,qr_transfer
SO00067,2026-09-14T08:24,at_store,1,49000,0,49000,completed,e_wallet
SO00068,2026-09-14T10:30,at_store,1,39000,0,39000,cancelled,qr_transfer
SO00069,2026-09-14T15:22,shopee_food_demo,1,49000,0,49000,refunded,qr_transfer
SO00070,2026-09-14T17:09,at_store,1,45000,0,45000,completed,e_wallet
SO00071,2026-09-14T20:43,shopee_food_demo,4,181000,0,181000,completed,cash
SO00072,2026-09-14T12:44,website,1,42000,0,42000,completed,cash
SO00073,2026-09-14T20:12,grab_demo,1,42000,0,42000,completed,cash
SO00074,2026-09-14T07:20,at_store,1,39000,0,39000,completed,e_wallet
SO00075,2026-09-14T14:22,shopee_food_demo,4,201000,20000,181000,completed,e_wallet
SO00076,2026-09-14T20:21,shopee_food_demo,3,155000,0,155000,completed,qr_transfer
SO00077,2026-09-14T14:25,at_store,1,49000,5000,44000,completed,cash
SO00078,2026-09-14T16:02,at_store,3,125000,0,125000,completed,e_wallet
SO00079,2026-09-14T11:16,at_store,1,65000,0,65000,cancelled,e_wallet
SO00080,2026-09-14T08:00,at_store,3,120000,0,120000,cancelled,e_wallet
SO00081,2026-09-14T10:44,grab_demo,1,45000,0,45000,completed,qr_transfer
SO00082,2026-09-14T09:05,at_store,4,177000,18000,159000,completed,card
SO00083,2026-09-14T19:36,shopee_food_demo,1,49000,5000,44000,completed,e_wallet
SO00084,2026-09-14T09:54,at_store,4,211000,0,211000,completed,card
SO00085,2026-09-14T08:49,at_store,1,45000,0,45000,completed,card
SO00086,2026-09-14T15:54,website,2,90000,0,90000,cancelled,card
SO00087,2026-09-14T17:56,shopee_food_demo,1,65000,0,65000,completed,card
SO00088,2026-09-14T17:26,at_store,4,178000,0,178000,completed,card
SO00089,2026-09-14T07:51,grab_demo,3,123000,0,123000,cancelled,card
SO00090,2026-09-14T08:18,website,1,49000,0,49000,completed,card
SO00091,2026-09-14T18:47,at_store,2,87000,9000,78000,completed,qr_transfer
SO00092,2026-09-14T09:39,at_store,4,161000,0,161000,cancelled,cash
SO00093,2026-09-14T17:45,at_store,2,70000,0,70000,completed,card
SO00094,2026-09-14T16:49,at_store,1,35000,0,35000,completed,cash
SO00095,2026-09-14T12:14,at_store,4,162000,0,162000,completed,e_wallet
SO00096,2026-09-14T07:32,at_store,1,35000,0,35000,completed,cash
SO00097,2026-09-14T20:19,at_store,2,110000,0,110000,completed,card
SO00098,2026-09-14T07:32,at_store,1,35000,0,35000,completed,cash
SO00099,2026-09-14T07:19,at_store,4,181000,0,181000,cancelled,qr_transfer
SO00100,2026-09-14T18:58,at_store,2,80000,0,80000,completed,qr_transfer
SO00101,2026-09-14T20:02,at_store,1,35000,0,35000,completed,cash
SO00102,2026-09-14T18:55,at_store,1,49000,0,49000,completed,e_wallet
SO00103,2026-09-14T15:38,shopee_food_demo,3,153000,15000,138000,completed,cash
SO00104,2026-09-14T17:08,website,1,39000,0,39000,completed,cash
SO00105,2026-09-14T14:08,shopee_food_demo,2,77000,8000,69000,completed,cash
SO00106,2026-09-14T20:30,shopee_food_demo,1,45000,0,45000,completed,card
SO00107,2026-09-14T09:14,shopee_food_demo,2,77000,0,77000,completed,cash
SO00108,2026-09-14T11:52,at_store,2,94000,0,94000,refunded,e_wallet
SO00109,2026-09-15T09:29,shopee_food_demo,2,100000,0,100000,completed,qr_transfer
SO00110,2026-09-15T11:09,at_store,1,39000,0,39000,completed,qr_transfer
SO00111,2026-09-15T15:11,at_store,1,65000,6000,59000,completed,qr_transfer
SO00112,2026-09-15T17:18,at_store,3,146000,0,146000,completed,qr_transfer
SO00113,2026-09-15T14:43,shopee_food_demo,1,45000,0,45000,completed,card
SO00114,2026-09-15T07:33,grab_demo,2,100000,0,100000,completed,e_wallet
SO00115,2026-09-15T07:58,at_store,1,35000,0,35000,completed,cash
SO00116,2026-09-15T08:11,at_store,1,65000,0,65000,completed,card
SO00117,2026-09-15T20:52,shopee_food_demo,3,149000,0,149000,completed,e_wallet
SO00118,2026-09-15T11:54,grab_demo,3,149000,0,149000,completed,cash
SO00119,2026-09-15T08:25,at_store,1,39000,4000,35000,cancelled,cash
SO00120,2026-09-15T07:48,grab_demo,1,39000,0,39000,completed,e_wallet
SO00121,2026-09-15T15:31,at_store,1,39000,0,39000,completed,e_wallet
SO00122,2026-09-15T19:55,website,1,42000,0,42000,completed,card
SO00123,2026-09-15T07:56,shopee_food_demo,1,65000,0,65000,completed,e_wallet
SO00124,2026-09-15T07:58,shopee_food_demo,3,145000,0,145000,completed,qr_transfer
SO00125,2026-09-15T08:02,grab_demo,3,122000,0,122000,completed,e_wallet
SO00126,2026-09-15T14:06,at_store,1,35000,0,35000,completed,cash
SO00127,2026-09-15T08:06,at_store,3,113000,0,113000,completed,qr_transfer
SO00128,2026-09-15T07:34,shopee_food_demo,1,65000,0,65000,completed,card
SO00129,2026-09-15T19:36,at_store,1,49000,0,49000,completed,qr_transfer
SO00130,2026-09-15T18:04,shopee_food_demo,1,49000,0,49000,completed,card
SO00131,2026-09-15T18:08,at_store,1,65000,0,65000,completed,qr_transfer
SO00132,2026-09-15T17:57,website,4,224000,0,224000,completed,e_wallet
SO00133,2026-09-15T12:58,at_store,2,77000,0,77000,completed,e_wallet
SO00134,2026-09-15T14:48,at_store,3,149000,0,149000,completed,card
SO00135,2026-09-15T19:57,shopee_food_demo,1,65000,0,65000,completed,e_wallet
SO00136,2026-09-15T09:02,at_store,1,65000,0,65000,completed,e_wallet
SO00137,2026-09-15T07:03,grab_demo,1,49000,0,49000,completed,card
SO00138,2026-09-15T07:29,at_store,1,49000,0,49000,completed,e_wallet
SO00139,2026-09-15T07:14,at_store,1,45000,0,45000,completed,e_wallet
SO00140,2026-09-15T20:29,at_store,4,198000,20000,178000,completed,e_wallet
SO00141,2026-09-15T09:19,shopee_food_demo,1,42000,0,42000,completed,cash
SO00142,2026-09-15T20:26,at_store,1,45000,0,45000,completed,qr_transfer
SO00143,2026-09-15T19:24,at_store,2,110000,0,110000,completed,e_wallet
SO00144,2026-09-15T10:31,grab_demo,1,45000,0,45000,completed,qr_transfer
SO00145,2026-09-15T07:02,grab_demo,3,133000,0,133000,completed,e_wallet
SO00146,2026-09-15T11:07,at_store,2,81000,8000,73000,completed,e_wallet
SO00147,2026-09-17T16:51,at_store,1,35000,0,35000,completed,cash
SO00148,2026-09-17T19:09,website,2,70000,0,70000,cancelled,card
SO00149,2026-09-17T09:44,at_store,1,45000,4000,41000,completed,qr_transfer
SO00150,2026-09-17T09:59,shopee_food_demo,4,161000,0,161000,completed,card
SO00151,2026-09-17T08:44,at_store,1,65000,0,65000,completed,e_wallet
SO00152,2026-09-17T12:23,shopee_food_demo,2,74000,0,74000,completed,qr_transfer
SO00153,2026-09-17T19:25,at_store,4,194000,19000,175000,cancelled,card
SO00154,2026-09-17T19:36,at_store,1,35000,4000,31000,completed,qr_transfer
SO00155,2026-09-17T08:45,at_store,1,35000,0,35000,completed,e_wallet
SO00156,2026-09-17T15:14,at_store,1,39000,0,39000,completed,cash
SO00157,2026-09-17T08:42,at_store,2,107000,0,107000,completed,qr_transfer
SO00158,2026-09-17T16:31,at_store,3,130000,13000,117000,completed,card
SO00159,2026-09-17T11:30,at_store,1,45000,4000,41000,completed,e_wallet
SO00160,2026-09-17T08:50,at_store,1,42000,0,42000,completed,e_wallet
SO00161,2026-09-17T20:23,grab_demo,3,119000,0,119000,completed,card
SO00162,2026-09-17T11:53,grab_demo,1,49000,0,49000,cancelled,card
SO00163,2026-09-17T10:20,at_store,3,115000,0,115000,completed,card
SO00164,2026-09-17T14:15,at_store,1,35000,0,35000,completed,card
SO00165,2026-09-17T11:53,at_store,1,42000,0,42000,completed,e_wallet
SO00166,2026-09-17T14:58,website,3,126000,13000,113000,completed,cash
SO00167,2026-09-17T07:18,website,1,49000,0,49000,completed,card
SO00168,2026-09-17T11:59,at_store,1,42000,0,42000,refunded,qr_transfer
SO00169,2026-09-17T15:22,at_store,3,139000,0,139000,completed,cash
SO00170,2026-09-17T19:32,grab_demo,3,153000,0,153000,completed,cash
SO00171,2026-09-17T09:50,at_store,2,91000,0,91000,completed,qr_transfer
SO00172,2026-09-17T12:48,at_store,3,143000,0,143000,completed,card
SO00173,2026-09-17T19:18,at_store,1,45000,4000,41000,completed,e_wallet
SO00174,2026-09-17T09:37,at_store,1,65000,6000,59000,completed,cash
SO00175,2026-09-17T17:58,at_store,2,84000,8000,76000,completed,qr_transfer
SO00176,2026-09-17T18:49,at_store,1,39000,4000,35000,completed,e_wallet
SO00177,2026-09-17T17:25,at_store,1,42000,0,42000,completed,card
SO00178,2026-09-17T12:41,at_store,4,171000,0,171000,completed,cash
SO00179,2026-09-17T16:29,grab_demo,1,65000,0,65000,completed,cash
SO00180,2026-09-17T20:29,at_store,1,39000,0,39000,completed,e_wallet
SO00181,2026-09-17T08:04,at_store,3,163000,0,163000,completed,card
SO00182,2026-09-17T17:58,shopee_food_demo,4,191000,0,191000,completed,card
SO00183,2026-09-17T07:06,website,4,201000,0,201000,cancelled,qr_transfer
SO00184,2026-09-17T19:48,at_store,2,107000,0,107000,completed,cash
SO00185,2026-09-17T17:58,at_store,2,87000,0,87000,completed,card
SO00186,2026-09-17T17:09,website,2,87000,0,87000,completed,cash
SO00187,2026-09-17T08:21,shopee_food_demo,2,91000,0,91000,completed,cash
SO00188,2026-09-18T08:28,at_store,3,152000,15000,137000,completed,e_wallet
SO00189,2026-09-18T11:36,grab_demo,2,94000,9000,85000,completed,e_wallet
SO00190,2026-09-18T18:57,grab_demo,3,129000,0,129000,completed,card
SO00191,2026-09-18T12:23,at_store,1,45000,0,45000,completed,card
SO00192,2026-09-18T16:34,at_store,2,104000,0,104000,completed,e_wallet
SO00193,2026-09-18T14:11,at_store,1,39000,0,39000,completed,card
SO00194,2026-09-18T20:33,shopee_food_demo,2,80000,0,80000,completed,qr_transfer
SO00195,2026-09-18T11:36,at_store,3,116000,0,116000,completed,qr_transfer
SO00196,2026-09-18T19:20,at_store,1,49000,0,49000,completed,cash
SO00197,2026-09-18T10:51,at_store,2,80000,0,80000,completed,card
SO00198,2026-09-18T10:55,at_store,2,84000,0,84000,completed,qr_transfer
SO00199,2026-09-18T20:28,at_store,2,104000,10000,94000,completed,e_wallet
SO00200,2026-09-18T19:17,at_store,1,42000,0,42000,refunded,cash
SO00201,2026-09-18T07:32,at_store,1,49000,0,49000,completed,e_wallet
SO00202,2026-09-18T11:29,at_store,2,107000,0,107000,completed,qr_transfer
SO00203,2026-09-18T07:49,shopee_food_demo,1,42000,0,42000,completed,e_wallet
SO00204,2026-09-18T12:17,at_store,1,39000,0,39000,completed,cash
SO00205,2026-09-18T09:17,at_store,1,35000,4000,31000,completed,qr_transfer
SO00206,2026-09-18T09:05,shopee_food_demo,4,155000,0,155000,completed,qr_transfer
SO00207,2026-09-18T20:21,shopee_food_demo,2,100000,0,100000,completed,card
SO00208,2026-09-18T19:54,grab_demo,4,168000,0,168000,completed,cash
SO00209,2026-09-18T08:46,grab_demo,1,65000,0,65000,completed,qr_transfer
SO00210,2026-09-18T11:43,shopee_food_demo,1,35000,0,35000,completed,e_wallet
SO00211,2026-09-18T08:57,website,2,91000,9000,82000,completed,cash
SO00212,2026-09-18T08:53,shopee_food_demo,2,70000,0,70000,completed,card
SO00213,2026-09-18T17:05,website,2,87000,0,87000,completed,qr_transfer
SO00214,2026-09-18T07:19,shopee_food_demo,1,65000,0,65000,completed,card
SO00215,2026-09-18T19:44,at_store,1,42000,0,42000,completed,card
SO00216,2026-09-18T14:10,at_store,2,88000,0,88000,cancelled,card
SO00217,2026-09-18T09:14,at_store,2,84000,8000,76000,completed,card
SO00218,2026-09-18T08:00,grab_demo,1,42000,4000,38000,completed,cash
SO00219,2026-09-18T20:14,shopee_food_demo,2,78000,0,78000,completed,card
SO00220,2026-09-18T14:22,at_store,4,168000,0,168000,completed,card
SO00221,2026-09-18T20:54,at_store,4,221000,0,221000,completed,cash
SO00222,2026-09-18T12:05,grab_demo,1,65000,0,65000,completed,e_wallet
SO00223,2026-09-18T08:09,shopee_food_demo,1,65000,0,65000,completed,e_wallet
SO00224,2026-09-18T14:26,at_store,1,42000,0,42000,completed,cash
SO00225,2026-09-18T16:09,at_store,4,218000,0,218000,completed,qr_transfer
SO00226,2026-09-18T18:29,at_store,1,45000,0,45000,completed,e_wallet
SO00227,2026-09-18T08:34,at_store,1,49000,0,49000,completed,qr_transfer
SO00228,2026-09-18T12:17,at_store,2,78000,0,78000,completed,e_wallet
SO00229,2026-09-18T09:17,at_store,1,45000,4000,41000,completed,cash
SO00230,2026-09-18T09:17,grab_demo,3,145000,0,145000,completed,qr_transfer
SO00231,2026-09-18T08:04,at_store,1,35000,0,35000,completed,card
SO00232,2026-09-18T12:51,at_store,2,110000,0,110000,completed,e_wallet
SO00233,2026-09-18T07:32,grab_demo,1,49000,0,49000,completed,qr_transfer
SO00234,2026-09-18T14:01,website,1,39000,4000,35000,completed,e_wallet
SO00235,2026-09-19T07:31,at_store,2,74000,0,74000,completed,e_wallet
SO00236,2026-09-19T07:30,website,1,45000,4000,41000,completed,card
SO00237,2026-09-19T20:32,at_store,1,45000,4000,41000,completed,e_wallet
SO00238,2026-09-19T14:45,at_store,2,100000,0,100000,completed,cash
SO00239,2026-09-19T08:45,grab_demo,1,39000,0,39000,completed,e_wallet
SO00240,2026-09-19T07:28,at_store,1,45000,4000,41000,completed,e_wallet
SO00241,2026-09-19T09:42,at_store,1,42000,0,42000,completed,qr_transfer
SO00242,2026-09-19T12:42,at_store,1,65000,0,65000,completed,qr_transfer
SO00243,2026-09-19T07:07,shopee_food_demo,4,164000,16000,148000,completed,qr_transfer
SO00244,2026-09-19T08:03,at_store,1,45000,4000,41000,completed,cash
SO00245,2026-09-19T16:11,at_store,3,156000,0,156000,completed,e_wallet
SO00246,2026-09-19T07:42,at_store,2,114000,0,114000,completed,cash
SO00247,2026-09-19T12:51,at_store,1,45000,0,45000,completed,e_wallet
SO00248,2026-09-19T16:46,website,1,42000,0,42000,completed,e_wallet
SO00249,2026-09-19T10:08,grab_demo,1,45000,0,45000,completed,cash
SO00250,2026-09-19T07:11,at_store,1,39000,0,39000,completed,qr_transfer
SO00251,2026-09-19T12:27,at_store,2,84000,0,84000,completed,e_wallet
SO00252,2026-09-19T15:48,at_store,2,80000,8000,72000,completed,e_wallet
SO00253,2026-09-19T09:17,website,2,84000,8000,76000,completed,cash
SO00254,2026-09-19T15:58,shopee_food_demo,4,198000,20000,178000,completed,card
SO00255,2026-09-19T15:41,grab_demo,2,78000,0,78000,completed,cash
SO00256,2026-09-19T09:47,website,2,84000,0,84000,completed,cash
SO00257,2026-09-19T12:02,at_store,4,182000,0,182000,cancelled,e_wallet
SO00258,2026-09-19T20:36,at_store,4,158000,0,158000,completed,e_wallet
SO00259,2026-09-19T11:22,at_store,1,49000,0,49000,completed,cash
SO00260,2026-09-19T09:52,at_store,2,84000,0,84000,cancelled,qr_transfer
SO00261,2026-09-19T12:38,grab_demo,1,35000,0,35000,cancelled,e_wallet
SO00262,2026-09-19T17:44,at_store,4,168000,0,168000,cancelled,qr_transfer
SO00263,2026-09-19T07:32,grab_demo,3,145000,0,145000,completed,card
SO00264,2026-09-19T10:47,grab_demo,3,156000,0,156000,completed,card
SO00265,2026-09-19T17:41,at_store,1,39000,0,39000,completed,cash
SO00266,2026-09-19T16:56,grab_demo,1,39000,0,39000,completed,e_wallet
SO00267,2026-09-19T19:35,at_store,1,42000,0,42000,completed,e_wallet
SO00268,2026-09-19T08:21,at_store,4,168000,17000,151000,completed,cash
SO00269,2026-09-19T18:07,at_store,3,119000,0,119000,completed,card
SO00270,2026-09-19T19:23,at_store,1,42000,0,42000,completed,cash
SO00271,2026-09-19T10:40,website,1,39000,4000,35000,completed,e_wallet
SO00272,2026-09-19T20:30,at_store,1,45000,0,45000,completed,cash
SO00273,2026-09-19T17:08,website,1,35000,4000,31000,completed,qr_transfer
SO00274,2026-09-19T07:50,at_store,2,104000,0,104000,completed,e_wallet
SO00275,2026-09-19T19:27,at_store,2,74000,0,74000,completed,e_wallet
SO00276,2026-09-19T19:52,at_store,3,139000,0,139000,completed,cash
SO00277,2026-09-19T11:49,shopee_food_demo,1,49000,5000,-39000,completed,qr_transfer
SO00278,2026-09-19T08:57,at_store,2,80000,0,80000,refunded,qr_transfer
SO00279,2026-09-19T16:27,at_store,1,65000,0,65000,completed,cash
SO00280,2026-09-19T16:53,at_store,1,42000,4000,38000,completed,qr_transfer
SO00281,2026-09-19T14:47,shopee_food_demo,1,42000,0,42000,completed,cash
